x,y,value
12744800,2567200,11
12719600,2587000,4
12722800,2582400,4
12674000,2572200,1
12688000,2560800,12
12724400,2589800,2
12681200,2574600,2
12750000,2566600,2
12705600,2576800,6
12672000,2574400,12
12679400,2559800,9
12668000,2584600,1
12719200,2581200,36
12677000,2590000,5
12678200,2590400,30
12678200,2589200,37
12701600,2571200,14
12692600,2573000,21
12696200,2574600,22
12698400,2563200,9
12713600,2576800,1
12685800,2563800,9
12709000,2564000,1
12678400,2589800,42
12671400,2589800,1
12714800,2582000,10
12680800,2591200,19
12705400,2565200,10
12685200,2590400,50
12685800,2564600,19
12682800,2565200,2
12680800,2557600,4
12695600,2577600,30
12695000,2558800,29
12695400,2564400,1
12667000,2577600,23
12708000,2573600,10
12693400,2559800,7
12701600,2580600,18
12747600,2561600,4
12698200,2563000,23
12682400,2587000,5
12701600,2579400,14
12695200,2586800,4
12697800,2557600,8
12736200,2572000,1
12674000,2566000,30
12724400,2581400,12
12709200,2572200,4
12671400,2585800,4
12673000,2567800,3
12674200,2585200,12
12716200,2579200,4
12691000,2584600,1
12721600,2584200,5
12702200,2580600,7
12672600,2581200,6
12695400,2587000,2
12685000,2589000,5
12747200,2573000,1
12728400,2590000,20
12673600,2578600,28
12717800,2578400,8
12689000,2566000,2
12683000,2555000,23
12714000,2564800,4
12729800,2587000,2
12695200,2571600,16
12746200,2559600,3
12699400,2574200,3
12692400,2585000,1
12668400,2579000,24
12718600,2566800,2
12684600,2579000,6
12675200,2587600,18
12675000,2563600,9
12705800,2579400,28
12707000,2564800,10
12688000,2561400,1
12715600,2583600,22
12726600,2579200,4
12707600,2572000,5
12745200,2567400,1
12670600,2586000,31
12730800,2578000,17
12726600,2587200,10
12677000,2568200,7
12750600,2567000,2
12673800,2567000,40
12729800,2588000,3
12725600,2589200,4
12683400,2576000,23
12668800,2582800,6
12683200,2564800,11
12678000,2566800,27
12692000,2576400,9
12696800,2573000,16
12727800,2578000,3
12679000,2555400,13
12731000,2583000,19
12743600,2567000,1
12705400,2570600,3
12694400,2576000,18
12674200,2580600,6
12682400,2562400,12
12686600,2583600,4
12685000,2566800,11
12720400,2585400,3
12676400,2560400,4
12721000,2583000,30
12673800,2578000,20
12679800,2567000,4
12671800,2580200,2
12671800,2575800,5
12684000,2555400,16
12703400,2567800,1
12702600,2569200,7
12670200,2582000,2
12698200,2569000,23
12697800,2581400,1
12712400,2571600,24
12688400,2571600,1
12678600,2586600,2
12685400,2575800,6
12715000,2576000,23
12703200,2578600,29
12670800,2584200,20
12677600,2563400,13
12718000,2573200,33
12668000,2583400,2
12689600,2576400,7
12682600,2585000,1
12678200,2593600,6
12691800,2582800,6
12685000,2583000,2
12702000,2562000,8
12685600,2586600,16
12677000,2557400,1
12693000,2567200,4
12695200,2585200,2
12722000,2579200,5
12681400,2588400,41
12724400,2582600,24
12729800,2579000,1
12705800,2561200,36
12698800,2581400,17
12682800,2560000,5
12721600,2583800,15
12685200,2586000,13
12692000,2583000,13
12671200,2579200,6
12723400,2567400,1
12692600,2586600,6
12697400,2582000,20
12680600,2586800,3
12684200,2591000,2
12707800,2562400,10
12703200,2566000,15
12673600,2579800,14
12673800,2590400,1
12719400,2582600,15
12699000,2581800,1
12670200,2588600,2
12746800,2560000,2
12679800,2552000,4
12681000,2589000,13
12697400,2580200,29
12673400,2571400,14
12698800,2581600,6
12690800,2578800,43
12730200,2578600,8
12724800,2576600,10
12683000,2572600,18
12736200,2586200,12
12681600,2565000,8
12674000,2572000,8
12716400,2579400,29
12678600,2581600,12
12724400,2589600,2
12669200,2582600,4
12691000,2583400,29
12676000,2568000,22
12674200,2568800,7
12695000,2560200,2
12707000,2562400,5
12706200,2564000,8
12669400,2578800,1
12688200,2579000,31
12746400,2574600,2
12682400,2563800,47
12671400,2577400,1
12681600,2564800,16
12680400,2557800,6
12710000,2563000,14
12683200,2585200,3
12722000,2576200,1
12681400,2587400,1
12699400,2571400,12
12698400,2563000,28
12680800,2589400,2
12710400,2573800,1
12683000,2562800,2
12705800,2562200,2
12705800,2569200,23
12731200,2580600,4
12723600,2581400,11
12703000,2563000,4
12680800,2557000,21
12728000,2583800,3
12714200,2577800,19
12676800,2568600,1
12752600,2562400,2
12681800,2553400,11
12698000,2574200,4
12685200,2560800,2
12670400,2582000,3
12726200,2580600,8
12676200,2592800,6
12691400,2573200,12
12698200,2563200,4
12711000,2571800,20
12697800,2557000,15
12678400,2585200,2
12736200,2572200,4
12703200,2579800,10
12706400,2572600,6
12679600,2585600,3
12684400,2578800,33
12729400,2590400,2
12673400,2583800,11
12678800,2561000,2
12694400,2575200,28
12674200,2585000,18
12703000,2571400,20
12721600,2584400,1
12692200,2560800,5
12700000,2576400,12
12685400,2585200,1
12707800,2563800,1
12696200,2572200,50
12716800,2579600,17
12676800,2593000,4
12675800,2562600,2
12687800,2559600,32
12676000,2585200,2
12695600,2571200,23
12706400,2562800,5
12673200,2588800,3
12741000,2564600,1
12669000,2588600,6
12684600,2579600,2
12675200,2587400,8
12720000,2575000,3
12705800,2579600,17
12723800,2586600,2
12673600,2584000,21
12686600,2588800,1
12713800,2574200,5
12688800,2562600,11
12676200,2585200,1
12707600,2572200,1
12690600,2567200,3
12690800,2559600,13
12679600,2558000,3
12682400,2585800,1
12706000,2575200,6
12674000,2592800,3
12673800,2567200,25
12686600,2579000,1
12725600,2589000,3
12675000,2580800,1
12744400,2567000,11
12674600,2594400,3
12736200,2585400,1
12677800,2592200,2
12696800,2573200,1
12709600,2571400,11
12675600,2588200,1
12724800,2588000,10
12695400,2585800,3
12707600,2562200,13
12731000,2583600,11
12682400,2562200,4
12672600,2576800,44
12728000,2576200,1
12671600,2579400,10
12721200,2585400,11
12683800,2581400,5
12698000,2582800,17
12681600,2588400,1
12682000,2576200,18
12671800,2580400,5
12704400,2577200,13
12692800,2568800,5
12677400,2588400,42
12674600,2588000,29
12695600,2579600,17
12695400,2562200,15
12694800,2586200,14
12719600,2564000,1
12735000,2579000,2
12717400,2583400,7
12665000,2579800,5
12679000,2561000,11
12674200,2570800,22
12746400,2573400,2
12720200,2575000,5
12703800,2561200,33
12734600,2584200,2
12678200,2593800,4
12698600,2576800,15
12685600,2586400,11
12691400,2574800,43
